customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,policy_type,vehicle_class,total_claim_amount,clean_complaints
QZ44356,Arizona,Female,Bachelor,6979.5359,0.0,94.0,Personal Auto,Four-Door Car,1131.464935,0
AI49188,Nevada,Female,Bachelor,12887.4317,48767.0,108.0,Personal Auto,Two-Door Car,566.472247,0
WW63253,California,Male,Bachelor,7645.861800000001,0.0,106.0,Corporate Auto,SUV,529.881344,0
GA49547,Washington,Male,High School or Below,5363.0765,36357.0,68.0,Personal Auto,Four-Door Car,17.269323,0
OC83172,Oregon,Female,Bachelor,8256.2978,62902.0,69.0,Personal Auto,Two-Door Car,159.383042,0
XZ87318,Oregon,Female,College,5380.8985999999995,55350.0,67.0,Corporate Auto,Four-Door Car,321.6,0
CF85061,Arizona,Male,Master,7216.1003,0.0,101.0,Corporate Auto,Four-Door Car,363.02968,0
DY87989,Oregon,Male,Bachelor,24127.504,14072.0,71.0,Corporate Auto,Four-Door Car,511.2,0
BQ94931,Oregon,Female,College,7388.178100000001,28812.0,93.0,Special Auto,Four-Door Car,425.527834,0
SX51350,California,Male,College,4738.992,0.0,67.0,Personal Auto,Four-Door Car,482.4,0
VQ65197,California,U,College,8197.1971,0.0,110.0,Personal Auto,SUV,528.0,0
DP39365,California,U,Master,8798.796999999999,77026.0,110.0,Corporate Auto,Four-Door Car,472.029737,2
SJ95423,Arizona,U,High School or Below,8819.018900000001,99845.0,110.0,Corporate Auto,SUV,528.0,1
IL66569,California,U,College,5384.4317,83689.0,70.0,Corporate Auto,Four-Door Car,307.139132,2
BW63560,Oregon,U,Bachelor,7463.139399999999,24599.0,64.0,Corporate Auto,Four-Door Car,42.920271,1
FV94802,Nevada,U,High School or Below,2566.8678,25049.0,67.0,Personal Auto,Two-Door Car,454.245098,0
OE15005,California,U,College,3945.2416,28855.0,101.0,Personal Auto,SUV,647.442031,0
WC83389,Oregon,U,College,5710.333100000001,51148.0,72.0,Personal Auto,Four-Door Car,308.981664,0
FL50705,California,U,High School or Below,8162.6170999999995,66140.0,101.0,Corporate Auto,Four-Door Car,484.8,0
ZK25313,Oregon,U,High School or Below,2872.0513,57749.0,74.0,Personal Auto,Two-Door Car,355.2,0
QK46697,Washington,Male,Bachelor,6177.1093,61040.0,79.0,Personal Auto,Two-Door Car,20.382876,1
YH23384,Arizona,U,Bachelor,24127.504,14072.0,71.0,Personal Auto,Four-Door Car,511.2,0
TZ98966,Nevada,U,Bachelor,2450.1910000000003,0.0,73.0,Corporate Auto,Four-Door Car,554.376763,3
HM55802,California,U,Bachelor,2392.1079,17870.0,61.0,Corporate Auto,Four-Door Car,439.2,0
FS42516,Oregon,U,College,5802.066,97541.0,72.0,Personal Auto,Four-Door Car,389.185006,0
US89481,California,U,Bachelor,3946.3721,0.0,111.0,Personal Auto,Four-Door Car,799.2,0
HS14476,Washington,Male,College,9162.063199999999,29723.0,80.0,Personal Auto,Four-Door Car,20.985105,0
GE62437,Arizona,U,College,12902.5601,86584.0,111.0,Personal Auto,Four-Door Car,532.8,2
EJ77678,Oregon,U,Master,3235.3605,75690.0,80.0,Personal Auto,Four-Door Car,384.0,1
SV85652,Arizona,U,College,2454.5835,23158.0,63.0,Personal Auto,Four-Door Car,322.294043,1
UL64533,Nevada,U,High School or Below,18975.4561,65999.0,237.0,Corporate Auto,Luxury,615.927769,0
PF41800,California,U,Bachelor,4715.3213,0.0,65.0,Personal Auto,Four-Door Car,308.15089,0
HD95276,Washington,Female,College,4737.8717,0.0,130.0,Personal Auto,SUV,23.820158,0
SK67821,Oregon,U,Bachelor,4932.9163,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681,0
YV55495,Arizona,U,High School or Below,5744.2297,68987.0,71.0,Personal Auto,Four-Door Car,204.475147,0
KY38074,California,U,Bachelor,13891.735700000001,42305.0,117.0,Personal Auto,Four-Door Car,561.6,0
DM79012,Oregon,U,Master,7380.9767,65706.0,91.0,Personal Auto,Four-Door Car,436.8,0
CM61827,Oregon,U,Bachelor,3090.0341,0.0,90.0,Personal Auto,Two-Door Car,648.0,0
WC35801,Arizona,U,High School or Below,2521.6331,53243.0,66.0,Personal Auto,Four-Door Car,157.397849,2
QG25316,Nevada,U,High School or Below,2652.0618,0.0,70.0,Corporate Auto,Two-Door Car,484.318536,1
MB98372,Oregon,U,College,2771.045,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935,0
IL19217,California,U,Bachelor,3939.0064,60021.0,99.0,Personal Auto,Four-Door Car,882.871945,0
SR38658,Arizona,U,High School or Below,12231.8797,43244.0,103.0,Personal Auto,Luxury,494.4,0
